YEAR,PRODUCT_GROUP,PRODUCT_MODULE,ELAPSED_TIME
2006,6011,8529,00:00:53
2006,6011,8473,00:02:37
2006,2506,3628,00:00:39
2006,2506,3626,00:00:51
2006,2506,3627,00:01:00
2006,2506,3592,00:01:16
2006,2506,3650,00:00:48
2006,2506,3625,00:02:28
2006,5511,6018,00:01:01
2006,5511,7697,00:00:54
2006,5511,7752,00:00:42
2006,5511,6019,00:00:56
2006,6011,8472,00:03:38
2006,1006,1467,00:00:50
2006,1505,1362,00:12:09
2006,5511,6017,00:02:25
2006,1006,1466,00:01:18
2006,1006,1464,00:01:11
2006,4510,7798,00:00:49
2006,4510,7464,00:00:56
2006,1006,1465,00:01:17
2006,6011,8470,00:08:02
2006,4510,7465,00:01:11
2006,4510,7380,00:00:54
2006,4510,6028,00:00:50
2006,4510,7462,00:01:29
2006,4510,7466,00:01:19
2006,4510,7381,00:01:22
2006,0510,1223,00:00:51
2006,0510,1264,00:00:46
2006,0510,1233,00:00:54
2006,0510,1180,00:01:05
2006,0510,1368,00:00:45
2006,0510,1213,00:00:47
2006,0510,1254,00:01:35
2006,0510,1234,00:00:59
2006,0510,1092,00:00:41
2006,0510,1243,00:01:08
2006,0510,1245,00:00:42
2006,1006,1463,00:04:43
2006,0510,1212,00:00:54
2006,0510,1253,00:01:10
2006,0510,1242,00:00:44
2006,0510,1215,00:00:45
2006,0510,1160,00:00:52
2006,0510,1262,00:00:43
2006,0510,1235,00:00:46
2006,0510,1239,00:00:48
2006,0510,1229,00:00:46
2006,0510,1063,00:01:40
2006,0510,1216,00:00:45
2006,0510,1219,00:00:42
2006,0510,1335,00:00:44
2006,0510,1225,00:01:31
2006,0510,1221,00:00:59
2006,0510,1322,00:00:43
2006,0510,1249,00:00:43
2006,0510,1269,00:01:05
2006,0510,1218,00:00:47
2006,0510,1246,00:00:48
2006,0510,1256,00:01:15
2006,0510,1240,00:00:47
2006,0510,1250,00:00:46
2006,0510,1228,00:00:50
2006,0510,1363,00:01:12
2006,0510,1260,00:01:25
2006,0510,1258,00:01:05
2006,4510,7460,00:06:48
2006,0510,1125,00:02:00
2006,2005,2671,00:01:01
2006,2005,2673,00:01:03
2006,0508,1304,00:00:41
2006,5509,7746,00:02:11
2006,0508,1299,00:00:53
2006,0508,1310,00:00:50
2006,0508,1300,00:01:13
2006,0508,1301,00:01:01
2006,0508,1313,00:03:33
2006,5509,7741,00:05:02
2006,0508,1306,00:02:52
2006,2005,2675,00:04:42
2006,4508,7038,00:00:57
2006,0508,1311,00:03:12
2006,4508,8602,00:00:42
2006,4508,7034,00:02:08
2006,4508,7037,00:01:18
2006,4508,8454,00:00:43
2006,0508,1309,00:04:06
2006,0508,1303,00:05:43
2006,4508,7039,00:01:10
2006,6005,1530,00:00:42
2006,0514,1061,00:00:43
2006,0514,1088,00:00:50
2006,2005,2672,00:07:17
2006,0514,1087,00:00:52
2006,0514,1071,00:00:48
2006,0514,1097,00:00:48
2006,0514,1267,00:00:42
2006,6005,1531,00:01:40
2006,4508,7035,00:03:58
2006,0514,1079,00:00:53
2006,0514,1069,00:00:42
2006,0514,1066,00:00:49
2006,0514,1076,00:01:03
2006,0514,1155,00:00:47
2006,0514,1105,00:01:54
2006,0514,1102,00:00:51
2006,0514,1080,00:01:05
2006,0514,1096,00:00:41
2006,0514,1086,00:00:51
2006,0514,1091,00:00:42
2006,0514,1070,00:00:53
2006,0514,1077,00:00:48
2006,0514,1081,00:00:47
2006,4508,7036,00:04:15
2006,0514,1144,00:01:07
2006,0514,1060,00:01:27
2006,0514,1067,00:00:55
2006,0514,1068,00:00:59
2006,0514,1057,00:00:52
2006,0514,1074,00:00:50
2006,0514,1110,00:00:55
2006,0514,1064,00:00:53
2006,0514,1082,00:01:03
2006,0514,1085,00:00:53
2006,0514,1107,00:01:00
2006,0514,1108,00:01:00
2006,0514,1073,00:00:44
2006,0514,1095,00:00:47
2006,0514,1075,00:00:44
2006,0514,1093,00:00:50
2006,0514,1065,00:01:04
2006,0514,1106,00:00:45
2006,0514,1062,00:00:46
2006,0514,1109,00:01:05
2006,0514,1094,00:00:50
2006,0514,1263,00:00:55
2006,5524,7572,00:00:57
2006,5524,6038,00:00:46
2006,0514,1072,00:01:23
2006,5515,6020,00:01:05
2006,5515,6022,00:01:10
2006,5515,6024,00:01:06
2006,5515,7745,00:01:19
2006,5002,5040,00:00:55
2006,5002,5028,00:00:54
2006,5002,5027,00:00:47
2006,5002,5030,00:00:44
2006,5002,5029,00:00:45
